S. No. (Col.1),Category (Col.2),State/UT (Col.3),Year - 2014 (Col.4),Year - 2015 (Col.5),Year - 2016 (Col.6),Percentage Share of State/UT (2016) (Col.7),Rank Based on Incidence/ Percentage share (2016) (Col.8),Mid-Year Projected Population (In Lakhs) (2016)+ (Col.9),Rate of Cognizable Crimes (IPC) (2016)++ (Col.10),Rank Based on Crime Rate (2016) (Col.11)
1,State,Andhra Pradesh,114604,110693,106774,3.6,13.0,517.4,206.4,15.0
2,State,Arunachal Pradesh,2843,2968,2534,0.1,29.0,13.2,192.3,17.0
3,State,Assam,94337,103616,102250,3.4,14.0,325.8,313.9,5.0
4,State,Bihar,177595,176973,164163,5.5,9.0,1043.0,157.4,22.0
5,State,Chhattisgarh,58200,56692,55029,1.8,17.0,259.9,211.7,14.0
6,State,Goa,4466,3074,2692,0.1,28.0,19.9,135.6,25.0
7,State,Gujarat,131385,126935,147122,4.9,11.0,630.8,233.2,11.0
8,State,Haryana,79947,84466,88527,3.0,15.0,276.1,320.6,4.0
9,State,Himachal Pradesh,14160,14007,13386,0.4,21.0,71.2,188.1,20.0
10,State,Jammu & Kashmir,23848,23583,24501,0.8,20.0,124.6,196.6,16.0
11,State,Jharkhand,45335,45050,40710,1.4,18.0,338.0,120.4,30.0
12,State,Karnataka,137338,138847,148402,5.0,10.0,625.7,237.2,10.0
13,State,Kerala,206789,257074,260097,8.7,4.0,357.5,727.6,2.0
14,State,Madhya Pradesh,272423,268614,264418,8.9,2.0,782.6,337.9,3.0
15,State,Maharashtra,249834,275414,261714,8.8,3.0,1205.5,217.1,13.0
16,State,Manipur,3641,3847,3170,0.1,26.0,26.0,121.9,28.0
17,State,Meghalaya,3679,4079,3366,0.1,25.0,27.8,120.9,29.0
18,State,Mizoram,2140,2228,2425,0.1,30.0,10.7,227.3,12.0
19,State,Nagaland,1157,1302,1376,0.0,31.0,23.9,57.6,34.0
20,State,Odisha,74569,83360,81460,2.7,16.0,425.9,191.3,18.0
21,State,Punjab,37162,37983,40007,1.3,19.0,292.0,137.0,24.0
22,State,Rajasthan,210418,198080,180398,6.1,6.0,732.8,246.2,8.0
23,State,Sikkim,1065,766,809,0.0,32.0,6.5,124.7,27.0
24,State,Tamil Nadu,193200,187558,179896,6.0,7.0,695.2,258.8,7.0
25,State,Telangana,106830,106282,108991,3.7,12.0,368.5,295.7,6.0
26,State,Tripura,5499,4692,3933,0.1,24.0,38.4,102.4,31.0
27,State,Uttar Pradesh,240475,241920,282171,9.5,1.0,2192.4,128.7,26.0
28,State,Uttarakhand,9156,10248,10867,0.4,22.0,106.8,101.8,32.0
29,State,West Bengal,185672,179501,176569,5.9,8.0,938.3,188.2,19.0
Total (States),State,Total (States),2687767,2749852,2757757,92.7,,12476.2,221.0,
30,UT,A & N Island,746,862,802,0.0,33.0,5.5,144.8,23.0
31,UT,Chandigarh,3221,3248,2996,0.1,27.0,18.0,166.4,21.0
32,UT,Dadra & Nagar Haveli,277,269,244,0.0,35.0,4.3,57.4,35.0
33,UT,Daman & Diu,233,302,271,0.0,34.0,3.3,81.1,33.0
34,UT,Delhi,155654,191377,209519,7.0,5.0,214.9,974.9,1.0
35,UT,Lakshadweep,81,50,36,0.0,36.0,0.8,43.9,36.0
36,UT,Puducherry,3584,3440,4086,0.1,23.0,16.8,242.8,9.0
Total (UTs),UT,Total (UTs),163796,199548,217954,7.3,,263.7,826.5,
